Date,Close,p_up_next_5d,recommendation,confidence,expected_return_5d,risk_level,explanation,generated_at
2002-04-01,1382.5902099609375,0.49330379384004663,HOLD,0.5066962061599534,0.00972379390723648,high,"[""Rövid távú momentum negatív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend alatt""]",2026-02-01 20:43:16
2002-04-02,1372.3299560546875,0.4898624710744626,HOLD,0.5101375289255374,0.008604292649381139,high,"[""Rövid távú momentum negatív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend alatt""]",2026-02-01 20:43:16
2002-04-03,1406.958984375,0.45402277574801686,HOLD,0.5459772242519831,0.00030583659071794833,high,"[""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-04,1442.870361328125,0.46111237932152926,HOLD,0.5388876206784707,-0.00011454566532811905,high,"[""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-07,1491.6072998046875,0.47189913007868023,HOLD,0.5281008699213198,0.0024328107232879335,medium,"[""RSI túlvett tartományban"", ""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-08,1464.032470703125,0.4938261359815143,HOLD,0.5061738640184856,0.007956138865812949,medium,"[""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-09,1506.9979248046875,0.49630842504106354,HOLD,0.5036915749589365,0.008509537907221247,medium,"[""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás csökken (10 nap < 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-10,1564.7130126953125,0.4882403049241393,HOLD,0.5117596950758607,0.009601600717787817,high,"[""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás nő (10 nap > 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-11,1545.4744873046875,0.4591436166456723,HOLD,0.5408563833543276,-0.0021864795545616794,high,"[""Rövid távú momentum pozitív (5 nap)"", ""Volatilitás nő (10 nap > 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
2002-04-14,1474.934326171875,0.47247404120064973,HOLD,0.5275259587993503,0.0032806719954063712,high,"[""Rövid távú momentum negatív (5 nap)"", ""Volatilitás nő (10 nap > 20 nap)"", ""Árfolyam a 20 napos trend felett""]",2026-02-01 20:43:16
