date,price,signal,cash,shares,equity,drawdown,bh_equity
2002-03-05,1404.3936767578125,HOLD,1000000.0,0.0,1000000.0,0.0,1000000.0
2002-03-06,1436.4576416015625,HOLD,1000000.0,0.0,1000000.0,0.0,1022831.1800134082
2002-03-07,1471.727783203125,HOLD,1000000.0,0.0,1000000.0,0.0,1047945.3215716268
2002-03-08,1462.1087646484375,HOLD,1000000.0,0.0,1000000.0,0.0,1041096.089256017
2002-03-11,1384.51416015625,HOLD,1000000.0,0.0,1000000.0,0.0,985844.7692192289
2002-03-12,1362.710693359375,HOLD,1000000.0,0.0,1000000.0,0.0,970319.587670982
2002-03-13,1346.678955078125,HOLD,1000000.0,0.0,1000000.0,0.0,958904.1715048676
2002-03-14,1330.005859375,HOLD,1000000.0,0.0,1000000.0,0.0,947032.0761094963
2002-03-15,1330.005859375,HOLD,1000000.0,0.0,1000000.0,0.0,947032.0761094963
2002-03-18,1333.853515625,HOLD,1000000.0,0.0,1000000.0,0.0,949771.8038038581
2002-03-19,1327.4407958984375,HOLD,1000000.0,0.0,1000000.0,0.0,945205.6199533534
2002-03-20,1346.678955078125,HOLD,1000000.0,0.0,1000000.0,0.0,958904.1715048676
2002-03-21,1397.339599609375,HOLD,1000000.0,0.0,1000000.0,0.0,994977.1369202384
2002-03-22,1449.282958984375,HOLD,1000000.0,0.0,1000000.0,0.0,1031963.460794123
2002-03-25,1420.42578125,HOLD,1000000.0,0.0,1000000.0,0.0,1011415.6769269991
2002-03-26,1417.219482421875,HOLD,1000000.0,0.0,1000000.0,0.0,1009132.628461894
2002-03-27,1391.568359375,HOLD,1000000.0,0.0,1000000.0,0.0,990867.7192192854
2002-03-28,1391.568359375,HOLD,1000000.0,0.0,1000000.0,0.0,990867.7192192854
2002-03-29,1385.155517578125,HOLD,1000000.0,0.0,1000000.0,0.0,986301.4484484858
2002-04-01,1385.155517578125,HOLD,1000000.0,0.0,1000000.0,0.0,986301.4484484858
2002-04-02,1382.5902099609375,HOLD,1000000.0,0.0,1000000.0,0.0,984474.8184517531
2002-04-03,1372.3299560546875,HOLD,1000000.0,0.0,1000000.0,0.0,977168.9938271814
2002-04-04,1406.958984375,HOLD,1000000.0,0.0,1000000.0,0.0,1001826.6299967327
2002-04-05,1442.870361328125,HOLD,1000000.0,0.0,1000000.0,0.0,1027397.3638639131
2002-04-08,1491.6072998046875,HOLD,1000000.0,0.0,1000000.0,0.0,1062100.552352398
2002-04-09,1464.032470703125,HOLD,1000000.0,0.0,1000000.0,0.0,1042465.8661829032
2002-04-10,1506.9979248046875,HOLD,1000000.0,0.0,1000000.0,0.0,1073059.4631298452
2002-04-11,1564.7130126953125,HOLD,1000000.0,0.0,1000000.0,0.0,1114155.5523858622
2002-04-12,1545.4744873046875,HOLD,1000000.0,0.0,1000000.0,0.0,1100456.7400734632
2002-04-15,1474.934326171875,HOLD,1000000.0,0.0,1000000.0,0.0,1050228.5438773213
2002-04-16,1500.5850830078125,HOLD,1000000.0,0.0,1000000.0,0.0,1068493.1923590454
2002-04-17,1537.1378173828125,HOLD,1000000.0,0.0,1000000.0,0.0,1094520.6054554828
2002-04-18,1526.2364501953125,HOLD,1000000.0,0.0,1000000.0,0.0,1086758.275442244
2002-04-19,1539.061767578125,HOLD,1000000.0,0.0,1000000.0,0.0,1095890.5562229587
2002-04-22,1487.75927734375,HOLD,1000000.0,0.0,1000000.0,0.0,1059360.5638971515
2002-04-23,1487.75927734375,HOLD,1000000.0,0.0,1000000.0,0.0,1059360.5638971515
2002-04-24,1478.140625,HOLD,1000000.0,0.0,1000000.0,0.0,1052511.5923424263
2002-04-25,1494.17236328125,HOLD,1000000.0,0.0,1000000.0,0.0,1063927.008508541
2002-04-26,1538.420166015625,HOLD,1000000.0,0.0,1000000.0,0.0,1095433.7031531117
2002-04-29,1548.680908203125,HOLD,1000000.0,0.0,1000000.0,0.0,1102739.875458863
2002-04-30,1535.8553466796875,HOLD,1000000.0,0.0,1000000.0,0.0,1093607.4208375588
